report_id,inspection_date,segment_id,issue_type,severity,recommendation,repair_date,inspector_id,inspection_method
RPT-00001,2022-01-03,SEG_063,Mechanical Damage,Moderate,Repair ASAP,2022-01-06,INS-507,ILI
RPT-00002,2022-01-03,SEG_028,Mechanical Damage,Major,Repair ASAP,2022-01-21,INS-441,Hydrotest
RPT-00003,2022-01-03,SEG_058,Third-Party Interference,Major,Investigate,2022-01-23,INS-311,UT
RPT-00004,2022-01-03,SEG_002,Coating Damage,Minor,Repair ASAP,2022-01-05,INS-152,ILI
RPT-00005,2022-01-03,SEG_057,No Issues,None,Routine Maintenance,,INS-407,ILI
RPT-00006,2022-01-03,SEG_056,No Issues,None,Routine Maintenance,,INS-851,ROW Patrol
RPT-00007,2022-01-03,SEG_020,Corrosion,Moderate,Repair ASAP,2022-01-24,INS-720,ILI
RPT-00008,2022-01-03,SEG_041,No Issues,None,Routine Maintenance,,INS-303,Visual
RPT-00009,2022-01-10,SEG_006,Third-Party Interference,Moderate,Investigate,,INS-827,Hydrotest
RPT-00010,2022-01-10,SEG_064,Third-Party Interference,Major,Investigate,2022-01-26,INS-770,ILI
RPT-00011,2022-01-10,SEG_060,Vegetation Encroachment,Minor,Monitor,,INS-528,UT
RPT-00012,2022-01-10,SEG_014,No Issues,None,Routine Maintenance,,INS-395,Visual
RPT-00013,2022-01-10,SEG_023,Third-Party Interference,Major,Investigate,2022-01-24,INS-956,UT
RPT-00014,2022-01-10,SEG_053,Third-Party Interference,Moderate,Repair ASAP,2022-01-18,INS-249,ROW Patrol
RPT-00015,2022-01-10,SEG_059,No Issues,None,Routine Maintenance,,INS-435,Visual
RPT-00016,2022-01-10,SEG_036,Mechanical Damage,Critical,Repair ASAP,2022-01-31,INS-921,ILI
RPT-00017,2022-01-17,SEG_007,Mechanical Damage,Major,Repair ASAP,2022-02-10,INS-652,UT
RPT-00018,2022-01-17,SEG_062,No Issues,None,Routine Maintenance,,INS-152,ILI
RPT-00019,2022-01-17,SEG_021,Vegetation Encroachment,Minor,Clear Area,,INS-859,Hydrotest
RPT-00020,2022-01-17,SEG_047,Third-Party Interference,Major,Investigate,2022-02-09,INS-783,Hydrotest
RPT-00021,2022-01-17,SEG_044,Coating Damage,Moderate,Monitor,,INS-638,UT
RPT-00022,2022-01-17,SEG_015,No Issues,None,Routine Maintenance,,INS-484,ILI
